country_region_code,country_region,,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,place_id,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
KR,South Korea,,,,,,ChIJm7oRy-tVZDURS9uIugCbJJE,2020-02-15,-4,0,3,-6,1,3
KR,South Korea,,,,,,ChIJm7oRy-tVZDURS9uIugCbJJE,2020-02-16,-11,0,-31,-15,-3,4
KR,South Korea,,,,,,ChIJm7oRy-tVZDURS9uIugCbJJE,2020-02-17,-7,-6,-17,-6,0,5
KR,South Korea,,,,,,ChIJm7oRy-tVZDURS9uIugCbJJE,2020-02-18,-1,-3,-5,-3,2,2
KR,South Korea,,,,,,ChIJm7oRy-tVZDURS9uIugCbJJE,2020-02-19,-5,-1,14,-4,1,2
KR,South Korea,,,,,,ChIJm7oRy-tVZDURS9uIugCbJJE,2020-02-20,-7,-3,7,-6,1,2
KR,South Korea,,,,,,ChIJm7oRy-tVZDURS9uIugCbJJE,2020-02-21,-15,-4,-10,-10,0,5
KR,South Korea,,,,,,ChIJm7oRy-tVZDURS9uIugCbJJE,2020-02-22,-26,-6,-32,-24,-4,9
KR,South Korea,,,,,,ChIJm7oRy-tVZDURS9uIugCbJJE,2020-02-23,-31,-18,-12,-25,-9,8
KR,South Korea,,,,,,ChIJm7oRy-tVZDURS9uIugCbJJE,2020-02-24,-21,6,6,-15,-6,8
KR,South Korea,,,,,,ChIJm7oRy-tVZDURS9uIugCbJJE,2020-02-25,-33,-13,-38,-26,-10,10
KR,South Korea,,,,,,ChIJm7oRy-tVZDURS9uIugCbJJE,2020-02-26,-29,-7,5,-22,-11,9
KR,South Korea,,,,,,ChIJm7oRy-tVZDURS9uIugCbJJE,2020-02-27,-30,-10,1,-24,-10,9
KR,South Korea,,,,,,ChIJm7oRy-tVZDURS9uIugCbJJE,2020-02-28,-37,-17,-38,-30,-12,13
KR,South Korea,,,,,,ChIJm7oRy-tVZDURS9uIugCbJJE,2020-02-29,-38,-10,-13,-32,-10,12
KR,South Korea,,,,,,ChIJm7oRy-tVZDURS9uIugCbJJE,2020-03-01,-41,-8,-17,-36,-16,11
KR,South Korea,,,,,,ChIJm7oRy-tVZDURS9uIugCbJJE,2020-03-02,-23,-1,10,-20,-8,9
KR,South Korea,,,,,,ChIJm7oRy-tVZDURS9uIugCbJJE,2020-03-03,-24,-7,2,-21,-9,8
KR,South Korea,,,,,,ChIJm7oRy-tVZDURS9uIugCbJJE,2020-03-04,-30,-10,-7,-25,-11,10
KR,South Korea,,,,,,ChIJm7oRy-tVZDURS9uIugCbJJE,2020-03-05,-28,-11,-2,-25,-9,9
KR,South Korea,,,,,,ChIJm7oRy-tVZDURS9uIugCbJJE,2020-03-06,-27,-8,1,-22,-9,10
KR,South Korea,,,,,,ChIJm7oRy-tVZDURS9uIugCbJJE,2020-03-07,-32,-7,-16,-29,-8,11
KR,South Korea,,,,,,ChIJm7oRy-tVZDURS9uIugCbJJE,2020-03-08,-27,-14,34,-24,-14,9
KR,South Korea,,,,,,ChIJm7oRy-tVZDURS9uIugCbJJE,2020-03-09,-19,1,16,-17,-6,8
KR,South Korea,,,,,,ChIJm7oRy-tVZDURS9uIugCbJJE,2020-03-10,-27,-11,-32,-25,-9,9
KR,South Korea,,,,,,ChIJm7oRy-tVZDURS9uIugCbJJE,2020-03-11,-22,-3,23,-18,-8,8
KR,South Korea,,,,,,ChIJm7oRy-tVZDURS9uIugCbJJE,2020-03-12,-23,-5,19,-20,-7,8
KR,South Korea,,,,,,ChIJm7oRy-tVZDURS9uIugCbJJE,2020-03-13,-24,-5,2,-20,-7,9
KR,South Korea,,,,,,ChIJm7oRy-tVZDURS9uIugCbJJE,2020-03-14,-25,1,4,-22,-5,9
KR,South Korea,,,,,,ChIJm7oRy-tVZDURS9uIugCbJJE,2020-03-15,-28,1,-3,-29,-12,9
KR,South Korea,,,,,,ChIJm7oRy-tVZDURS9uIugCbJJE,2020-03-16,-17,1,23,-16,-6,8
KR,South Korea,,,,,,ChIJm7oRy-tVZDURS9uIugCbJJE,2020-03-17,-19,-5,12,-17,-6,6
KR,South Korea,,,,,,ChIJm7oRy-tVZDURS9uIugCbJJE,2020-03-18,-19,-1,47,-16,-7,7
KR,South Korea,,,,,,ChIJm7oRy-tVZDURS9uIugCbJJE,2020-03-19,-28,-13,-18,-25,-7,9
KR,South Korea,,,,,,ChIJm7oRy-tVZDURS9uIugCbJJE,2020-03-20,-20,-2,17,-17,-6,8
KR,South Korea,,,,,,ChIJm7oRy-tVZDURS9uIugCbJJE,2020-03-21,-21,4,31,-18,-5,7
KR,South Korea,,,,,,ChIJm7oRy-tVZDURS9uIugCbJJE,2020-03-22,-20,-8,52,-17,-12,7
KR,South Korea,,,,,,ChIJm7oRy-tVZDURS9uIugCbJJE,2020-03-23,-15,6,47,-13,-5,7
