date,R0_q1,R0_med,R0_q3,R0_t_point
2020-05-25,3.5,3.5,3.5,3.5
2020-06-08,3.5,3.5,3.5,3.5
2020-06-22,3.5,3.5,3.5,3.5
2020-07-06,3.5,3.5,3.5,3.5
2020-07-20,3.5,3.5,3.5,3.5
2020-08-03,3.5,3.5,3.5,3.5
2020-08-17,3.5,3.5,3.5,3.5
2020-08-31,3.5,3.5,3.5,3.5
2020-09-14,3.5,3.5,3.5,3.5
2020-09-28,3.5,3.5,3.5,3.5
2020-10-12,3.5,3.5,3.5,3.5
2020-10-26,3.5,3.5,3.5,3.5
2020-11-09,3.5,3.5,3.5,3.5
2020-11-23,3.5,3.5,3.5,3.5
2020-12-07,3.5,3.5,3.5,3.5
2020-12-21,3.509676201,3.511348122,3.51313423,3.511368
2021-01-04,3.553974829,3.562644695,3.571864383,3.5627095
2021-01-18,3.602778403,3.616844358,3.631034768,3.6163225
2021-02-01,3.598879737,3.615501797,3.63286524,3.615591
2021-02-15,3.671925359,3.701631803,3.73336713,3.701985
2021-03-01,3.650943264,3.676943206,3.704151603,3.677037
2021-03-15,3.584757976,3.597439256,3.611033238,3.5974855
2021-03-29,3.641052313,3.66476318,3.689531641,3.6648885
2021-04-12,3.690449178,3.721846153,3.754347189,3.7218195
2021-04-26,3.790938414,3.831276135,3.873429226,3.830449
2021-05-10,3.905950801,3.960919681,4.01774208,3.959354
2021-05-24,3.80947151,3.853746474,3.899363082,3.852576
2021-06-07,3.643705931,3.666096742,3.692032607,3.6671845
2021-06-21,4.007965969,4.099301142,4.206311716,4.10529
2021-07-05,4.690972284,4.959319012,5.254546003,4.9754215
2021-07-19,5.140419227,5.539135965,5.984629167,5.5657385
2021-08-02,5.561403041,6.07828165,6.653243347,6.110909
2021-08-16,6.049538651,6.699888822,7.418773697,6.740671
2021-08-30,6.106198197,6.771088942,7.506881658,6.8131455
2021-09-13,6.152382502,6.830965925,7.579742451,6.8729325
2021-09-27,6.162986832,6.843573936,7.595153627,6.8860295
2021-10-11,6.169735785,6.852758857,7.606434274,6.895
2021-10-25,6.169735785,6.852758857,7.606434274,6.895
2021-11-08,6.169735785,6.852758857,7.606434274,6.895
2021-11-22,6.169735785,6.852758857,7.606434274,6.895
2021-12-06,6.414380104,7.08168028,7.819309408,7.120848
2021-12-20,6.673242016,7.322426649,8.04642304,7.35602
2022-01-03,8.123079951,8.795293497,9.507657464,8.771196
2022-01-17,12.06555949,13.15605029,14.38642,13.15244
2022-01-31,14.58898484,16.17391352,17.95472778,16.186884
2022-02-14,15.42350817,17.1799133,19.12273994,17.190768
2022-02-28,15.46824899,17.23013783,19.18002042,17.240531
2022-03-14,15.47543738,17.23838448,19.18943839,17.248784
2022-03-28,15.43512033,17.19218795,19.1369677,17.202731
2022-04-11,15.43991259,17.19768572,19.14324634,17.208233
2022-04-25,15.47465646,17.23754452,19.18876653,17.2481225
2022-05-09,15.43631839,17.19356239,19.13853736,17.2041065
2022-05-23,15.43991259,17.19768572,19.14324634,17.208233
2022-06-06,15.44949711,17.20868125,19.15580363,17.219237
2022-06-20,15.39678226,17.14820582,19.08673853,17.158715
2022-07-04,15.39318807,17.14408249,19.08202954,17.1545885
2022-07-18,15.46027969,17.22105122,19.16993059,17.2316165
