month,H_bar,EH_med,EH_lo,EH_hi,p_reduction
2020-01-01,-0.115907124,-0.001736167,-0.001736167,-0.001736167,0.762375
2020-02-01,-0.284084049,-0.004260641,-0.004260641,-0.004260641,0.762375
2020-03-01,-0.672553635,-0.010116237,-0.010116237,-0.010116237,0.762375
2020-04-01,-1.212614053,-0.018313608,-0.018313608,-0.018313608,0.762375
2020-05-01,0.163383642,0.002442206,0.002442206,0.002442206,0.762375
2020-06-01,0.37834303,0.005646266,0.005646266,0.005646266,0.762375
2020-07-01,1.483623562,0.02195916,0.02195916,0.02195916,0.762375
2020-08-01,1.53857989,0.022763242,0.022763242,0.022763242,0.762375
2020-09-01,1.110822156,0.016487095,0.016487095,0.016487095,0.762375
2020-10-01,0.104992543,0.00157008,0.00157008,0.00157008,0.762375
2020-11-01,-0.275164997,-0.004126599,-0.004126599,-0.004126599,0.762375
2020-12-01,-0.888085485,-0.013379771,-0.013379771,-0.013379771,0.762375
2021-01-01,-0.492657529,-0.007400341,-0.007400341,-0.007400341,0.762375
2021-02-01,-1.028052384,-0.015504762,-0.015504762,-0.015504762,0.762375
2021-03-01,-0.129001199,-0.001932492,-0.001932492,-0.001932492,0.762375
2021-04-01,-1.001432912,-0.015100279,-0.015100279,-0.015100279,0.762375
2021-05-01,0.082666534,0.001236419,0.001236419,0.001236419,0.762375
2021-06-01,0.676481112,0.010073112,0.010073112,0.010073112,0.762375
2021-07-01,1.070592406,0.015894767,0.015894767,0.015894767,0.762375
2021-08-01,1.171918137,0.017385969,0.017385969,0.017385969,0.762375
2021-09-01,1.074442212,0.015951465,0.015951465,0.015951465,0.762375
2021-10-01,0.80096292,0.011915619,0.011915619,0.011915619,0.762375
2021-11-01,0.184464546,0.002756882,0.002756882,0.002756882,0.762375
2021-12-01,-0.382744872,-0.005744582,-0.005744582,-0.005744582,0.762375
2022-01-01,-1.113921647,-0.016810642,-0.016810642,-0.016810642,0.762375
2022-02-01,-1.644578359,-0.024918087,-0.024918087,-0.024918087,0.762375
2022-03-01,-0.533016082,-0.008008999,-0.008008999,-0.008008999,0.762375
2022-04-01,-0.884750895,-0.013329199,-0.013329199,-0.013329199,0.762375
2022-05-01,-0.966655861,-0.014572086,-0.014572086,-0.014572086,0.762375
2022-06-01,0.377012057,0.005626459,0.005626459,0.005626459,0.762375
2022-07-01,1.136282392,0.016861779,0.016861779,0.016861779,0.762375
